xtime[s] xdist[m] speed[km/h] nmot[rpm] gear[n] accx[g] accy[g] accz[g] steer[deg] yaw[deg/s]     dam_fl[mm] dam_fr[mm] dam_rl[mm] dam_rr[mm]     Jounce_FL[mm] Jounce_FR[mm] Jounce_RL[mm] Jounce_RR[mm]     Ride_AxleFront[mm] Ride_AxleRear[mm]     SideSlipFL[deg] SideSlipFR[deg] SideSlipRL[deg] SideSlipRR[deg] SideSlipCG[deg]     slip_fl[pct] slip_fr[pct] slip_rl[pct] slip_rr[pct]     AeroBalance[pct] Cx[none]     pbrake_f[bar] pbrake_r[bar]     Load_FL_Ch1[kN] Load_FR_Ch1[kN] Load_RL_Ch1[kN] Load_RR_Ch1[kN]     vwheel_fl[km/h] vwheel_fr[km/h] vwheel_rl[km/h] vwheel_rr[km/h]     acc_fl[g] acc_fr[g] acc_rl[g] acc_rr[g]     Fz_fl[kN] Fz_fr[kN] Fz_rl[kN] Fz_rr[kN]     roll[deg]     aps[%] me_act[Nm] md_rl[Nm] md_rr[Nm]     damper_force_FC[kN] damper_force_RC[kN]     dam_3rd_front[mm] dam_3rd_rear[mm]     CamberFL[deg] CamberFR[deg] CamberRL[deg] CamberRR[deg]     ToeFL[deg] ToeFR[deg] ToeRL[deg] ToeRR[deg]     CLA[m2]     Fx_FL[kN] Fx_FR[kN] Fx_RL[kN] Fx_RR[kN]     Fy_FL[kN] Fy_FR[kN] Fy_RL[kN] Fy_RR[kN]     fl_LCA_front[N] fl_LCA_rear[N] fl_UCA_Front[N] fl_UCA_Rear[N] fl_TROD_Out[N] fl_PROD[N]     fr_LCA_front[N] fr_LCA_rear[N] fr_UCA_Front[N] fr_UCA_Rear[N] fr_TROD_Out[N] fr_PROD[N]     rl_LCA_front[N] rl_LCA_rear[N] rl_UCA_Front[N] rl_UCA_Rear[N] rl_TROD_Out[N] rl_PROD[N]     rr_LCA_front[N] rr_LCA_rear[N] rr_UCA_Front[N] rr_UCA_Rear[N] rr_TROD_Out[N] rr_PROD[N]
122.094 8247.219 272.989 6813.293 6.000 0.239 -0.052 -0.000 -0.290 0.433 -10.525 -10.974 -22.015 -22.447 19.343 18.783 18.731 18.191 47.508 56.665 0.289 -0.391 -0.209 0.119 -0.037 -0.022 -0.022 0.945 0.961 41.794 1.094 0.014 0.014 3.908 3.740 9.801 9.570 272.948 272.900 275.588 275.589 0.002 0.001 -0.001 -0.001 5230.944 5112.196 7210.613 7091.068 -0.029 99.997 756.877 1178.674 1176.391 0.702 0.000 3.779 -8.812 -2.944 -2.985 -2.876 -2.919 -0.316 0.364 0.164 -0.165 3.873 -0.051 -0.051 3.288 3.282 -0.544 0.808 1.264 -0.942 -4968.341 -5381.203 473.616 745.812 1510.966 3908.144 -5167.695 -5561.494 543.710 801.607 1593.826 3740.043 -8460.954 -16246.387 3510.020 8205.466 -719.735 9801.232 -8474.586 -16538.555 3414.684 8480.845 -756.126 9569.702
122.149 8251.417 273.454 6824.622 6.000 0.237 -0.057 -0.000 -0.384 0.477 -10.478 -10.955 -21.939 -22.401 19.403 18.806 18.826 18.248 47.447 56.568 0.280 -0.400 -0.212 0.117 -0.039 -0.022 -0.022 0.941 0.959 41.806 1.094 0.014 0.014 3.932 3.749 9.839 9.585 273.416 273.363 276.050 276.051 -0.001 -0.001 0.001 0.001 5247.141 5117.836 7227.049 7096.758 -0.031 100.001 756.106 1177.484 1175.214 0.712 0.000 3.828 -8.755 -2.944 -2.987 -2.876 -2.922 -0.308 0.372 0.164 -0.165 3.873 -0.052 -0.051 3.284 3.278 -0.521 0.831 1.277 -0.935 -4956.398 -5371.975 467.259 741.927 1506.363 3931.699 -5197.994 -5591.486 549.415 807.142 1606.346 3748.739 -8479.780 -16265.829 3509.799 8214.536 -714.996 9838.804 -8488.838 -16567.484 3408.994 8501.723 -754.154 9584.809
122.260 8259.814 274.372 6846.989 6.000 0.234 -0.068 -0.000 -0.431 0.579 -10.365 -10.937 -21.773 -22.328 19.544 18.828 19.033 18.340 47.325 56.376 0.271 -0.410 -0.221 0.107 -0.047 -0.021 -0.022 0.934 0.955 41.829 1.093 0.014 0.014 3.982 3.762 9.916 9.612 274.340 274.276 276.962 276.963 0.001 0.001 -0.000 -0.001 5281.717 5126.567 7261.737 7105.829 -0.037 100.001 754.487 1175.019 1172.711 0.733 0.000 3.926 -8.644 -2.942 -2.993 -2.876 -2.931 -0.304 0.376 0.164 -0.164 3.872 -0.051 -0.050 3.277 3.272 -0.495 0.855 1.318 -0.908 -4957.556 -5377.552 460.199 738.508 1506.880 3982.072 -5233.283 -5627.358 555.135 813.902 1621.625 3762.320 -8511.467 -16281.759 3513.346 8214.359 -703.722 9915.735 -8522.703 -16646.311 3393.211 8560.625 -751.644 9611.963
122.315 8264.013 274.825 6858.026 6.000 0.232 -0.071 -0.000 -0.393 0.584 -10.312 -10.925 -21.696 -22.287 19.610 18.844 19.130 18.391 47.264 56.281 0.270 -0.410 -0.225 0.103 -0.051 -0.021 -0.022 0.931 0.952 41.840 1.093 0.014 0.014 4.003 3.773 9.948 9.631 274.794 274.729 277.412 277.413 0.002 0.001 -0.001 -0.002 5295.939 5133.853 7276.130 7113.032 -0.039 99.997 753.651 1174.140 1171.027 0.743 0.000 3.974 -8.588 -2.940 -2.996 -2.876 -2.935 -0.308 0.373 0.164 -0.164 3.872 -0.051 -0.050 3.275 3.267 -0.493 0.856 1.335 -0.897 -4967.620 -5388.927 459.500 738.836 1511.054 4002.807 -5241.689 -5637.087 555.146 815.335 1625.580 3773.361 -8524.338 -16288.667 3515.129 8214.289 -699.133 9947.708 -8542.371 -16686.252 3385.072 8589.901 -749.320 9631.379
122.369 8268.183 275.272 6868.902 6.000 0.231 -0.078 -0.000 -0.502 0.635 -10.262 -10.911 -21.619 -22.248 19.672 18.861 19.226 18.440 47.204 56.187 0.260 -0.420 -0.228 0.099 -0.053 -0.021 -0.021 0.928 0.951 41.851 1.093 0.014 0.014 4.027 3.780 9.987 9.643 275.243 275.173 277.855 277.857 -0.001 -0.001 0.001 0.002 5312.894 5138.026 7293.292 7117.179 -0.042 100.001 752.881 1172.980 1169.820 0.752 0.000 4.022 -8.534 -2.940 -2.998 -2.876 -2.939 -0.299 0.382 0.164 -0.164 3.872 -0.051 -0.050 3.272 3.264 -0.465 0.883 1.351 -0.888 -4951.227 -5375.411 452.062 733.961 1504.510 4027.391 -5275.309 -5670.039 561.943 821.666 1639.441 3779.948 -8542.811 -16305.419 3515.687 8220.911 -694.113 9986.609 -8555.757 -16715.637 3378.654 8611.825 -747.672 9643.158
122.478 8276.522 276.153 6890.376 6.000 0.228 -0.090 -0.000 -0.563 0.758 -10.140 -10.904 -21.449 -22.189 19.825 18.870 19.439 18.514 47.084 56.002 0.249 -0.432 -0.240 0.088 -0.062 -0.021 -0.021 0.920 0.948 41.875 1.092 0.014 0.014 4.081 3.789 10.067 9.663 276.132 276.048 278.731 278.732 0.001 0.001 -0.000 -0.001 5349.645 5143.320 7329.947 7122.671 -0.050 100.001 751.277 1170.526 1167.352 0.771 0.000 4.119 -8.427 -2.936 -3.005 -2.875 -2.948 -0.294 0.387 0.163 -0.164 3.871 -0.051 -0.050 3.265 3.257 -0.433 0.912 1.399 -0.853 -4946.722 -5375.625 443.436 729.117 1502.449 4080.771 -5314.190 -5708.908 569.215 829.538 1656.213 3788.550 -8573.246 -16312.827 3521.344 8213.221 -681.877 10067.047 -8588.313 -16798.221 3361.053 8675.099 -746.199 9662.846
122.532 8280.692 276.589 6900.973 6.000 0.226 -0.094 -0.000 -0.526 0.771 -10.081 -10.896 -21.369 -22.155 19.899 18.880 19.539 18.556 47.023 55.911 0.247 -0.434 -0.244 0.083 -0.067 -0.021 -0.021 0.917 0.945 41.887 1.092 0.014 0.014 4.103 3.797 10.100 9.679 276.569 276.482 279.163 279.165 0.003 0.002 -0.001 -0.002 5364.879 5149.141 7345.188 7128.226 -0.052 99.997 750.456 1169.697 1165.663 0.780 0.000 4.169 -8.374 -2.935 -3.009 -2.875 -2.952 -0.297 0.384 0.163 -0.164 3.871 -0.051 -0.050 3.263 3.252 -0.429 0.916 1.420 -0.838 -4954.958 -5385.279 442.168 728.923 1505.790 4102.885 -5323.704 -5719.561 569.767 831.407 1660.652 3797.472 -8585.104 -16314.763 3524.357 8208.867 -676.863 10100.418 -8607.712 -16840.812 3351.876 8707.125 -744.379 9678.907
122.586 8284.826 277.017 6911.396 6.000 0.225 -0.103 -0.000 -0.651 0.835 -10.023 -10.886 -21.289 -22.124 19.971 18.892 19.639 18.595 46.961 55.821 0.235 -0.446 -0.249 0.078 -0.070 -0.021 -0.021 0.914 0.944 41.900 1.092 0.014 0.014 4.130 3.801 10.142 9.686 277.000 276.907 279.588 279.590 -0.002 -0.001 0.001 0.002 5383.356 5151.543 7363.601 7130.291 -0.056 100.001 749.707 1168.571 1164.486 0.789 0.000 4.220 -8.322 -2.934 -3.011 -2.874 -2.957 -0.287 0.394 0.163 -0.164 3.871 -0.051 -0.049 3.259 3.249 -0.395 0.947 1.440 -0.825 -4933.599 -5367.015 433.415 722.875 1497.028 4129.570 -5361.307 -5756.036 577.867 838.720 1676.127 3801.484 -8603.085 -16327.181 3526.152 8211.532 -671.333 10141.651 -8620.212 -16872.031 3344.474 8731.299 -743.311 9686.321
122.694 8293.094 277.862 6931.983 6.000 0.222 -0.119 -0.000 -0.725 0.983 -9.883 -10.889 -21.110 -22.083 20.146 18.889 19.863 18.647 46.836 55.644 0.221 -0.460 -0.262 0.064 -0.082 -0.020 -0.021 0.906 0.942 41.926 1.091 0.014 0.014 4.188 3.805 10.227 9.697 277.854 277.744 280.428 280.430 0.002 0.001 -0.000 -0.001 5423.547 5152.993 7403.031 7131.312 -0.065 100.001 748.156 1166.228 1162.069 0.807 0.000 4.322 -8.219 -2.929 -3.020 -2.871 -2.968 -0.281 0.401 0.163 -0.164 3.871 -0.051 -0.049 3.253 3.242 -0.355 0.983 1.498 -0.781 -4922.632 -5361.131 422.871 716.293 1491.931 4187.725 -5404.809 -5798.833 587.014 848.017 1694.805 3804.500 -8631.767 -16323.070 3534.955 8193.513 -657.860 10227.095 -8651.541 -16960.611 3324.410 8800.995 -743.166 9696.804
122.747 8297.228 278.280 6942.145 6.000 0.220 -0.124 -0.000 -0.689 1.004 -9.816 -10.886 -21.026 -22.058 20.229 18.892 19.967 18.678 46.773 55.557 0.219 -0.463 -0.269 0.058 -0.088 -0.020 -0.021 0.904 0.940 41.940 1.091 0.014 0.014 4.212 3.811 10.262 9.709 278.273 278.161 280.842 280.844 0.003 0.002 -0.001 -0.002 5440.138 5157.154 7419.368 7134.911 -0.069 99.997 747.366 1165.514 1160.360 0.815 0.000 4.374 -8.168 -2.927 -3.024 -2.870 -2.972 -0.284 0.398 0.163 -0.164 3.870 -0.051 -0.049 3.251 3.237 -0.348 0.989 1.524 -0.762 -4928.701 -5368.739 420.929 715.459 1494.240 4211.700 -5415.697 -5810.659 588.219 850.420 1699.825 3811.031 -8642.364 -16319.007 3539.629 8183.876 -652.374 10262.312 -8670.698 -17006.529 3313.939 8836.424 -741.920 9708.904
122.800 8301.317 278.689 6952.122 6.000 0.219 -0.134 -0.000 -0.829 1.079 -9.753 -10.882 -20.943 -22.035 20.309 18.898 20.072 18.707 46.712 55.471 0.205 -0.477 -0.274 0.052 -0.092 -0.020 -0.021 0.900 0.939 41.953 1.091 0.014 0.014 4.240 3.812 10.306 9.712 278.686 278.566 281.249 281.251 -0.002 -0.001 0.001 0.002 5460.139 5157.558 7439.125 7134.747 -0.073 100.001 746.660 1164.489 1159.213 0.824 0.000 4.425 -8.119 -2.926 -3.027 -2.869 -2.977 -0.272 0.409 0.163 -0.164 3.870 -0.051 -0.049 3.248 3.234 -0.308 1.026 1.548 -0.744 -4901.808 -5345.114 410.813 708.104 1482.926 4240.489 -5457.328 -5850.655 597.719 858.746 1716.891 3812.153 -8659.670 -16326.624 3542.957 8182.075 -646.352 10306.031 -8682.258 -17039.729 3305.475 8863.019 -741.458 9711.632
122.905 8309.496 279.498 6971.835 6.000 0.216 -0.153 -0.000 -0.919 1.253 -9.600 -10.901 -20.754 -22.012 20.500 18.874 20.308 18.734 46.591 55.301 0.187 -0.495 -0.291 0.035 -0.105 -0.020 -0.021 0.893 0.937 41.979 1.091 0.014 0.014 4.303 3.809 10.397 9.712 279.505 279.366 282.054 282.056 0.002 0.001 -0.000 -0.001 5503.549 5154.453 7481.588 7131.091 -0.084 100.001 745.225 1162.367 1156.932 0.842 0.000 4.525 -8.020 -2.919 -3.037 -2.864 -2.989 -0.265 0.417 0.162 -0.164 3.870 -0.051 -0.049 3.242 3.228 -0.258 1.069 1.617 -0.690 -4883.084 -5331.791 398.268 699.524 1474.064 4303.125 -5505.334 -5897.146 608.968 869.491 1737.315 3808.605 -8686.451 -16310.472 3555.409 8153.003 -631.643 10396.982 -8712.133 -17134.473 3283.094 8939.237 -742.793 9712.442
122.958 8313.586 279.898 6981.567 6.000 0.215 -0.160 -0.000 -0.883 1.283 -9.528 -10.908 -20.666 -21.996 20.590 18.865 20.418 18.755 46.532 55.217 0.184 -0.498 -0.298 0.028 -0.113 -0.020 -0.021 0.890 0.936 41.992 1.090 0.014 0.014 4.329 3.812 10.434 9.720 279.907 279.763 282.450 282.453 0.003 0.002 -0.001 -0.002 5521.356 5156.552 7499.193 7132.655 -0.089 99.997 744.501 1161.816 1155.263 0.851 0.000 4.573 -7.972 -2.917 -3.042 -2.863 -2.994 -0.268 0.414 0.162 -0.164 3.870 -0.050 -0.049 3.240 3.223 -0.248 1.078 1.648 -0.666 -4886.438 -5336.796 395.631 697.943 1475.029 4328.783 -5517.453 -5909.954 610.928 872.429 1742.806 3812.197 -8695.743 -16300.112 3562.000 8137.691 -625.667 10434.386 -8730.984 -17184.012 3271.424 8978.255 -742.231 9720.411
123.010 8317.622 280.289 6991.103 6.000 0.213 -0.172 -0.000 -1.038 1.369 -9.461 -10.914 -20.578 -21.982 20.674 18.858 20.528 18.773 46.475 55.135 0.168 -0.514 -0.305 0.021 -0.118 -0.020 -0.021 0.886 0.935 42.004 1.090 0.014 0.014 4.359 3.810 10.481 9.719 280.303 280.150 282.839 282.842 -0.002 -0.001 0.001 0.002 5542.636 5154.677 7520.365 7130.296 -0.094 100.001 743.857 1160.936 1154.161 0.860 0.000 4.620 -7.924 -2.915 -3.045 -2.861 -3.000 -0.255 0.427 0.162 -0.164 3.870 -0.051 -0.048 3.238 3.220 -0.202 1.119 1.676 -0.645 -4853.786 -5307.507 384.260 689.235 1460.950 4359.342 -5562.532 -5952.856 621.818 881.668 1761.154 3810.051 -8712.241 -16302.570 3567.081 8131.027 -619.147 10480.709 -8741.702 -17219.535 3261.912 9007.489 -742.403 9718.536
123.113 8325.693 281.062 7009.948 6.000 0.211 -0.194 -0.000 -1.143 1.568 -9.302 -10.956 -20.380 -21.978 20.873 18.805 20.776 18.777 46.366 54.972 0.148 -0.535 -0.324 0.001 -0.134 -0.020 -0.021 0.879 0.935 42.026 1.090 0.014 0.014 4.426 3.799 10.577 9.710 281.087 280.912 283.608 283.611 0.002 0.002 -0.000 -0.001 5588.811 5146.615 7565.886 7122.062 -0.107 100.001 742.510 1159.009 1151.958 0.878 0.000 4.707 -7.830 -2.907 -3.056 -2.855 -3.013 -0.247 0.436 0.162 -0.164 3.870 -0.051 -0.048 3.232 3.214 -0.143 1.170 1.756 -0.581 -4826.584 -5285.932 369.829 678.535 1447.817 4425.843 -5614.368 -6002.310 635.223 893.736 1782.914 3799.408 -8737.146 -16274.249 3583.182 8090.717 -603.070 10577.198 -8770.138 -17320.045 3237.181 9089.912 -745.069 9709.812
123.165 8329.729 281.444 7019.248 6.000 0.209 -0.202 -0.001 -1.109 1.607 -9.227 -10.975 -20.287 -21.971 20.966 18.782 20.891 18.786 46.313 54.892 0.143 -0.539 -0.333 -0.008 -0.142 -0.019 -0.021 0.876 0.933 42.036 1.090 0.014 0.014 4.453 3.800 10.617 9.714 281.471 281.291 283.987 283.991 0.004 0.002 -0.001 -0.002 5607.691 5146.477 7584.776 7121.590 -0.112 99.997 741.813 1158.556 1150.277 0.887 0.000 4.748 -7.783 -2.903 -3.061 -2.852 -3.018 -0.250 0.433 0.162 -0.164 3.869 -0.050 -0.048 3.231 3.210 -0.129 1.181 1.792 -0.552 -4826.844 -5287.944 366.512 676.144 1447.203 4452.991 -5627.565 -6015.923 637.989 897.180 1788.761 3799.828 -8745.224 -16257.506 3591.556 8069.676 -596.467 10616.816 -8788.656 -17372.885 3224.233 9132.317 -745.093 9713.603
123.216 8333.706 281.817 7028.349 6.000 0.208 -0.216 -0.001 -1.283 1.706 -9.159 -10.991 -20.195 -21.965 21.052 18.761 21.006 18.793 46.264 54.813 0.125 -0.558 -0.340 -0.015 -0.148 -0.019 -0.020 0.873 0.933 42.046 1.089 0.014 0.014 4.485 3.794 10.666 9.707 281.850 281.659 284.359 284.362 -0.002 -0.001 0.002 0.003 5630.248 5142.113 7607.471 7116.949 -0.118 100.001 741.190 1157.726 1149.187 0.896 0.000 4.787 -7.738 -2.901 -3.065 -2.850 -3.025 -0.235 0.447 0.162 -0.164 3.869 -0.051 -0.047 3.229 3.207 -0.075 1.228 1.826 -0.527 -4787.043 -5251.594 353.681 665.808 1429.662 4485.320 -5676.790 -6062.292 650.559 907.451 1808.583 3794.122 -8761.184 -16254.906 3598.172 8058.233 -589.249 10665.987 -8798.342 -17410.172 3213.643 9163.813 -745.820 9706.868
123.317 8341.664 282.555 7046.346 6.000 0.205 -0.243 -0.001 -1.418 1.947 -8.991 -11.061 -19.983 -21.984 21.262 18.673 21.271 18.770 46.169 54.657 0.100 -0.583 -0.363 -0.039 -0.167 -0.019 -0.020 0.865 0.934 42.063 1.089 0.014 0.014 4.558 3.774 10.771 9.686 282.601 282.384 285.093 285.096 0.002 0.002 -0.000 -0.001 5680.583 5127.554 7657.501 7102.741 -0.134 100.000 739.855 1155.758 1147.060 0.914 0.000 4.861 -7.648 -2.891 -3.078 -2.841 -3.040 -0.224 0.459 0.161 -0.164 3.869 -0.051 -0.047 3.223 3.201 -0.002 1.289 1.920 -0.451 -4747.469 -5218.041 336.475 652.063 1410.307 4557.676 -5734.786 -6116.589 667.155 921.422 1832.445 3774.159 -8784.602 -16211.091 3618.388 8003.611 -570.807 10770.866 -8824.882 -17518.072 3185.798 9254.181 -750.103 9685.683
123.368 8345.645 282.920 7055.231 6.000 0.204 -0.253 -0.001 -1.390 2.005 -8.911 -11.096 -19.883 -21.990 21.362 18.631 21.397 18.763 46.123 54.580 0.094 -0.589 -0.374 -0.050 -0.177 -0.019 -0.020 0.862 0.933 42.071 1.089 0.014 0.014 4.588 3.770 10.815 9.683 282.969 282.745 285.455 285.459 0.004 0.003 -0.001 -0.002 5701.567 5124.194 7678.687 7099.248 -0.140 99.996 739.151 1155.317 1145.346 0.924 0.000 4.895 -7.604 -2.886 -3.084 -2.838 -3.046 -0.227 0.456 0.161 -0.164 3.868 -0.050 -0.047 3.222 3.196 0.018 1.304 1.964 -0.415 -4742.896 -5215.433 332.018 648.388 1407.215 4587.774 -5750.101 -6131.849 671.246 925.698 1838.997 3769.988 -8791.364 -16184.873 3629.191 7974.039 -562.967 10814.614 -8843.066 -17576.254 3170.839 9301.920 -750.945 9683.323
123.418 8349.567 283.276 7063.925 6.000 0.203 -0.269 -0.001 -1.570 2.114 -8.837 -11.126 -19.784 -21.995 21.454 18.592 21.520 18.756 46.080 54.505 0.074 -0.610 -0.383 -0.059 -0.185 -0.019 -0.020 0.858 0.933 42.078 1.089 0.014 0.014 4.623 3.760 10.867 9.671 283.331 283.095 285.810 285.814 -0.002 -0.001 0.002 0.003 5725.938 5116.911 7703.431 7091.823 -0.148 100.001 738.515 1154.592 1144.112 0.933 0.000 4.927 -7.560 -2.882 -3.089 -2.834 -3.053 -0.212 0.471 0.161 -0.164 3.868 -0.051 -0.047 3.220 3.193 0.078 1.355 2.005 -0.383 -4697.079 -5173.029 318.033 636.514 1386.487 4622.609 -5801.771 -6180.058 685.245 936.796 1859.542 3760.116 -8805.873 -16173.365 3638.302 7954.485 -554.708 10867.424 -8852.540 -17618.174 3158.127 9338.221 -752.227 9670.891
123.518 8357.414 283.980 7081.103 6.000 0.200 -0.300 -0.001 -1.723 2.377 -8.659 -11.223 -19.559 -22.037 21.677 18.471 21.801 18.704 45.997 54.357 0.045 -0.638 -0.409 -0.086 -0.206 -0.019 -0.020 0.850 0.934 42.091 1.088 0.014 0.014 4.700 3.732 10.979 9.639 284.050 283.784 286.511 286.515 0.003 0.002 0.000 -0.001 5779.806 5096.784 7757.254 7072.349 -0.165 100.000 737.135 1152.750 1141.716 0.951 0.000 4.988 -7.475 -2.871 -3.103 -2.824 -3.069 -0.200 0.484 0.161 -0.164 3.867 -0.050 -0.046 3.215 3.186 0.164 1.424 2.113 -0.296 -4646.268 -5128.323 298.652 619.974 1361.137 4699.852 -5864.110 -6237.612 704.521 952.273 1884.636 3732.185 -8827.079 -16114.077 3662.839 7885.538 -534.164 10979.146 -8877.786 -17731.990 3126.741 9435.450 -757.355 9638.640
123.567 8361.338 284.328 7089.577 6.000 0.199 -0.312 -0.001 -1.704 2.448 -8.574 -11.270 -19.453 -22.053 21.783 18.413 21.934 18.684 45.957 54.284 0.037 -0.647 -0.422 -0.098 -0.218 -0.019 -0.020 0.848 0.934 42.097 1.088 0.014 0.014 4.732 3.724 11.026 9.631 284.401 284.128 286.857 286.861 0.005 0.003 -0.000 -0.002 5802.473 5090.790 7780.208 7066.338 -0.173 99.996 736.400 1152.317 1139.896 0.960 0.000 5.017 -7.433 -2.865 -3.109 -2.820 -3.077 -0.201 0.482 0.160 -0.164 3.867 -0.050 -0.046 3.213 3.181 0.190 1.443 2.164 -0.255 -4636.523 -5120.679 293.142 615.027 1355.334 4732.279 -5881.625 -6254.612 709.890 957.303 1891.863 3724.257 -8832.807 -16080.369 3675.566 7849.125 -525.256 11026.060 -8895.306 -17792.943 3110.161 9486.417 -758.644 9630.987
123.616 8365.193 284.667 7097.841 6.000 0.197 -0.330 -0.001 -1.895 2.568 -8.496 -11.312 -19.349 -22.068 21.880 18.360 22.063 18.664 45.919 54.213 0.015 -0.669 -0.433 -0.109 -0.227 -0.019 -0.020 0.844 0.934 42.102 1.088 0.014 0.014 4.769 3.711 11.081 9.614 284.746 284.460 287.194 287.199 -0.002 -0.001 0.003 0.004 5828.296 5081.160 7806.452 7056.583 -0.181 100.001 735.731 1151.589 1138.561 0.970 0.000 5.043 -7.392 -2.861 -3.115 -2.816 -3.084 -0.186 0.498 0.160 -0.164 3.866 -0.051 -0.046 3.211 3.178 0.257 1.498 2.210 -0.218 -4584.486 -5071.939 278.129 601.663 1331.218 4769.107 -5935.620 -6304.485 725.249 969.075 1912.990 3711.020 -8846.271 -16061.858 3686.389 7823.218 -515.977 11081.493 -8904.004 -17836.906 3096.017 9525.278 -760.280 9613.601
123.714 8372.903 285.335 7114.164 6.000 0.195 -0.366 -0.001 -2.079 2.869 -8.310 -11.436 -19.112 -22.132 22.113 18.205 22.360 18.585 45.850 54.072 -0.018 -0.702 -0.462 -0.139 -0.251 -0.019 -0.020 0.836 0.936 42.111 1.088 0.014 0.014 4.852 3.674 11.201 9.569 285.431 285.111 287.860 287.865 0.003 0.003 0.001 -0.000 5886.137 5054.786 7864.492 7031.270 -0.201 100.000 734.269 1149.607 1136.052 0.988 0.000 5.090 -7.312 -2.847 -3.130 -2.804 -3.102 -0.171 0.514 0.160 -0.164 3.866 -0.051 -0.045 3.206 3.171 0.359 1.576 2.332 -0.120 -4519.713 -5013.346 256.201 581.780 1298.342 4851.868 -6003.077 -6365.674 747.749 986.181 1939.380 3674.095 -8865.640 -15985.765 3714.942 7738.844 -492.586 11200.854 -8926.985 -17955.576 3061.472 9628.500 -766.416 9568.901
123.762 8376.759 285.665 7122.211 6.000 0.193 -0.380 -0.002 -2.072 2.959 -8.219 -11.498 -18.999 -22.161 22.226 18.127 22.502 18.548 45.817 54.003 -0.028 -0.713 -0.476 -0.153 -0.264 -0.018 -0.020 0.833 0.936 42.115 1.087 0.014 0.014 4.887 3.661 11.252 9.555 285.766 285.435 288.188 288.194 0.005 0.004 -0.000 -0.002 5911.000 5045.336 7889.830 7022.064 -0.211 99.996 733.487 1149.097 1134.163 0.998 0.000 5.111 -7.273 -2.841 -3.137 -2.799 -3.110 -0.172 0.513 0.160 -0.164 3.865 -0.050 -0.046 3.204 3.166 0.392 1.600 2.392 -0.073 -4503.506 -4999.390 249.440 575.240 1289.057 4887.352 -6022.833 -6384.271 754.689 992.050 1947.170 3661.212 -8870.151 -15942.043 3730.021 7693.363 -482.090 11252.049 -8943.630 -18020.311 3042.976 9683.628 -768.330 9554.548
123.810 8380.535 285.986 7130.032 6.000 0.192 -0.400 -0.002 -2.274 3.097 -8.136 -11.556 -18.888 -22.190 22.330 18.055 22.640 18.513 45.787 53.936 -0.052 -0.738 -0.489 -0.167 -0.275 -0.018 -0.020 0.829 0.937 42.118 1.087 0.014 0.014 4.927 3.643 11.311 9.531 286.094 285.748 288.507 288.513 -0.001 -0.000 0.003 0.004 5938.844 5032.344 7918.353 7009.160 -0.220 100.001 732.773 1148.354 1132.701 1.007 0.000 5.130 -7.235 -2.835 -3.144 -2.793 -3.119 -0.155 0.530 0.159 -0.164 3.865 -0.051 -0.045 3.202 3.162 0.467 1.658 2.447 -0.030 -4444.125 -4943.128 233.262 560.049 1260.809 4926.946 -6078.716 -6435.203 771.654 1004.540 1968.555 3643.131 -8882.031 -15912.863 3743.420 7657.840 -471.260 11311.462 -8951.666 -18068.295 3026.730 9726.857 -770.483 9530.580
123.905 8388.088 286.617 7145.471 6.000 0.189 -0.440 -0.002 -2.466 3.417 -7.937 -11.706 -18.638 -22.278 22.579 17.867 22.952 18.402 45.728 53.805 -0.089 -0.774 -0.522 -0.200 -0.302 -0.018 -0.020 0.821 0.940 42.123 1.087 0.014 0.014 5.015 3.598 11.437 9.474 286.743 286.361 289.137 289.144 0.004 0.004 0.001 0.000 6000.293 5000.355 7980.155 6978.410 -0.243 100.000 731.215 1146.469 1129.793 1.025 0.000 5.166 -7.161 -2.820 -3.161 -2.779 -3.138 -0.139 0.546 0.159 -0.164 3.864 -0.051 -0.045 3.197 3.154 0.581 1.741 2.585 0.079 -4368.231 -4873.143 209.770 537.367 1221.275 5014.619 -6147.552 -6496.634 796.472 1022.597 1994.601 3598.108 -8898.111 -15817.345 3776.909 7555.787 -445.143 11437.240 -8973.263 -18192.098 2988.381 9836.353 -777.063 9474.333
123.952 8391.864 286.929 7153.075 6.000 0.188 -0.456 -0.002 -2.458 3.512 -7.842 -11.779 -18.520 -22.317 22.698 17.776 23.100 18.353 45.699 53.741 -0.100 -0.786 -0.537 -0.215 -0.316 -0.018 -0.020 0.818 0.940 42.126 1.087 0.014 0.014 5.052 3.582 11.490 9.455 287.060 286.667 289.447 289.454 0.007 0.005 0.000 -0.002 6026.421 4988.829 8006.750 6967.111 -0.253 99.996 730.387 1146.035 1127.686 1.034 0.000 5.183 -7.124 -2.812 -3.169 -2.773 -3.147 -0.140 0.545 0.159 -0.164 3.863 -0.050 -0.045 3.195 3.148 0.619 1.767 2.650 0.130 -4348.233 -4855.330 202.558 529.874 1209.613 5051.799 -6167.359 -6514.987 804.168 1028.773 2002.078 3582.248 -8900.943 -15765.384 3794.058 7502.894 -433.610 11490.428 -8989.390 -18258.469 2968.310 9893.715 -779.041 9455.498
