xtime[s] xdist[m] speed[km/h] nmot[rpm] gear[n] accx[g] accy[g] accz[g] steer[deg] yaw[deg/s] dam_fl[mm] dam_fr[mm] dam_rl[mm] dam_rr[mm] Jounce_FL[mm] Jounce_FR[mm] Jounce_RL[mm] Jounce_RR[mm] Ride_AxleFront[mm] Ride_AxleRear[mm] SideSlipFL[deg] SideSlipFR[deg] SideSlipRL[deg] SideSlipRR[deg] SideSlipCG[deg] slip_fl[pct] slip_fr[pct] slip_rl[pct] slip_rr[pct] AeroBalance[pct] Cx[none] pbrake_f[bar] pbrake_r[bar] Load_FL_Ch1[kN] Load_FR_Ch1[kN] Load_RL_Ch1[kN] Load_RR_Ch1[kN] vwheel_fl[km/h] vwheel_fr[km/h] vwheel_rl[km/h] vwheel_rr[km/h] acc_fl[g] acc_fr[g] acc_rl[g] acc_rr[g] Fz_fl[kN] Fz_fr[kN] Fz_rl[kN] Fz_rr[kN] roll[deg] aps[%] me_act[Nm] md_rl[Nm] md_rr[Nm] damper_force_FC[kN] damper_force_RC[kN] dam_3rd_front[mm] dam_3rd_rear[mm] CamberFL[deg] CamberFR[deg] CamberRL[deg] CamberRR[deg] ToeFL[deg] ToeFR[deg] ToeRL[deg] ToeRR[deg] CLA[m2] Fx_FL[kN] Fx_FR[kN] Fx_RL[kN] Fx_RR[kN] Fy_FL[kN] Fy_FR[kN] Fy_RL[kN] Fy_RR[kN] 
0.582 39.421 247.712 7147.668 5.000 0.374 0.337 -0.002 2.006 -3.145 8.915 11.493 14.660 17.529 11.143 14.366 18.325 21.911 43.136 47.651 0.480 0.210 0.440 0.211 0.262 -0.030 -0.027 1.319 1.183 42.693 1.058 0.003 0.002 2.238 3.427 6.586 7.874 247.469 247.807 250.816 250.803 0.002 0.001 0.002 0.002 4073.524 4892.941 5963.705 6632.955 0.176 99.999 731.675 1277.747 1309.179 0.390 0.002 3.231 -1.176 -2.888 -2.643 -2.914 -2.662 -0.297 -0.028 -0.113 0.114 3.636 -0.054 -0.059 3.609 3.697 -0.851 -0.869 -0.547 -1.537
0.608 41.168 248.044 7157.001 5.000 0.372 0.348 -0.002 2.046 -3.236 8.889 11.562 14.653 17.627 11.111 14.452 18.316 22.033 43.096 47.585 0.491 0.221 0.451 0.223 0.272 -0.030 -0.027 1.318 1.178 42.702 1.057 0.003 0.002 2.227 3.458 6.578 7.909 247.797 248.144 251.146 251.133 0.001 0.001 0.002 0.002 4066.281 4914.133 5958.583 6650.385 0.182 99.992 730.637 1275.280 1308.016 0.395 0.002 3.263 -1.134 -2.893 -2.639 -2.920 -2.659 -0.301 -0.031 -0.113 0.114 3.636 -0.054 -0.059 3.602 3.694 -0.873 -0.902 -0.579 -1.579
0.634 43.025 248.395 7166.879 5.000 0.370 0.361 -0.002 2.117 -3.336 8.862 11.635 14.645 17.730 11.077 14.544 18.306 22.162 43.054 47.516 0.504 0.234 0.463 0.235 0.282 -0.030 -0.026 1.318 1.173 42.712 1.057 0.003 0.002 2.216 3.490 6.569 7.947 248.142 248.500 251.496 251.482 0.003 0.002 0.002 0.001 4058.433 4936.822 5952.761 6669.178 0.188 100.000 729.627 1272.824 1306.922 0.400 0.003 3.298 -1.090 -2.898 -2.635 -2.927 -2.656 -0.307 -0.036 -0.113 0.114 3.635 -0.054 -0.059 3.595 3.691 -0.901 -0.943 -0.613 -1.624
0.688 46.737 249.091 7186.427 5.000 0.367 0.387 -0.002 2.224 -3.540 8.806 11.784 14.625 17.937 11.007 14.730 18.282 22.421 42.971 47.379 0.529 0.258 0.487 0.259 0.302 -0.030 -0.026 1.316 1.163 42.731 1.057 0.003 0.002 2.192 3.557 6.549 8.024 248.827 249.207 252.187 252.172 0.002 0.002 0.002 0.002 4041.854 4982.931 5940.565 6707.070 0.202 99.999 727.418 1267.602 1304.413 0.411 0.003 3.367 -1.003 -2.910 -2.627 -2.940 -2.650 -0.315 -0.045 -0.113 0.114 3.635 -0.053 -0.059 3.581 3.684 -0.950 -1.018 -0.680 -1.716
0.715 48.593 249.436 7196.100 5.000 0.366 0.399 -0.002 2.267 -3.639 8.778 11.858 14.615 18.040 10.972 14.823 18.269 22.550 42.929 47.312 0.540 0.269 0.500 0.271 0.313 -0.030 -0.026 1.315 1.159 42.741 1.057 0.003 0.002 2.180 3.590 6.539 8.062 249.166 249.557 252.529 252.513 0.002 0.002 0.003 0.003 4033.878 5005.671 5934.740 6725.583 0.209 99.992 726.248 1264.903 1303.017 0.417 0.003 3.402 -0.960 -2.915 -2.622 -2.946 -2.646 -0.319 -0.048 -0.113 0.114 3.634 -0.053 -0.059 3.573 3.680 -0.973 -1.054 -0.714 -1.762
0.743 50.568 249.800 7206.334 5.000 0.364 0.413 -0.002 2.351 -3.751 8.748 11.937 14.603 18.149 10.935 14.921 18.254 22.686 42.884 47.241 0.555 0.284 0.513 0.284 0.323 -0.030 -0.026 1.315 1.153 42.752 1.056 0.003 0.002 2.167 3.626 6.528 8.102 249.524 249.927 252.891 252.875 0.003 0.003 0.002 0.001 4025.002 5030.221 5927.907 6745.800 0.216 100.001 725.104 1262.213 1301.682 0.423 0.003 3.438 -0.915 -2.921 -2.618 -2.953 -2.643 -0.326 -0.055 -0.113 0.114 3.634 -0.053 -0.059 3.566 3.676 -1.004 -1.100 -0.750 -1.811
0.800 54.522 250.522 7226.624 5.000 0.360 0.441 -0.003 2.472 -3.981 8.684 12.099 14.575 18.370 10.855 15.123 18.219 22.963 42.795 47.100 0.582 0.310 0.540 0.311 0.346 -0.030 -0.025 1.314 1.143 42.773 1.056 0.003 0.002 2.139 3.699 6.503 8.185 250.234 250.661 253.608 253.591 0.002 0.002 0.003 0.003 4005.919 5080.499 5913.448 6786.852 0.231 99.999 722.663 1256.573 1298.772 0.434 0.003 3.512 -0.825 -2.933 -2.609 -2.967 -2.636 -0.336 -0.064 -0.113 0.115 3.633 -0.052 -0.059 3.550 3.668 -1.058 -1.185 -0.824 -1.913
0.829 56.502 250.880 7236.676 5.000 0.359 0.455 -0.003 2.520 -4.092 8.652 12.180 14.560 18.480 10.815 15.225 18.200 23.100 42.751 47.031 0.595 0.322 0.553 0.324 0.357 -0.030 -0.025 1.314 1.138 42.784 1.056 0.003 0.002 2.126 3.734 6.492 8.226 250.585 251.025 253.964 253.946 0.002 0.002 0.003 0.003 3996.664 5105.343 5906.511 6806.950 0.239 99.993 721.396 1253.685 1297.220 0.440 0.004 3.548 -0.781 -2.939 -2.604 -2.974 -2.632 -0.340 -0.068 -0.113 0.115 3.633 -0.052 -0.059 3.542 3.663 -1.083 -1.226 -0.862 -1.964
0.859 58.613 251.259 7247.331 5.000 0.357 0.471 -0.003 2.622 -4.221 8.617 12.267 14.542 18.598 10.771 15.334 18.178 23.247 42.704 46.958 0.613 0.340 0.568 0.339 0.369 -0.029 -0.025 1.313 1.133 42.796 1.055 0.003 0.002 2.110 3.774 6.477 8.271 250.957 251.411 254.341 254.323 0.004 0.004 0.002 0.001 3986.110 5132.448 5898.147 6829.231 0.247 100.001 720.153 1250.779 1295.751 0.446 0.004 3.587 -0.735 -2.946 -2.599 -2.982 -2.628 -0.348 -0.076 -0.113 0.115 3.632 -0.052 -0.059 3.534 3.659 -1.117 -1.280 -0.902 -2.020
0.919 62.836 252.008 7268.414 5.000 0.353 0.504 -0.003 2.781 -4.496 8.541 12.447 14.499 18.839 10.676 15.558 18.124 23.549 42.610 46.813 0.644 0.371 0.598 0.369 0.395 -0.029 -0.025 1.314 1.122 42.819 1.055 0.003 0.002 2.076 3.855 6.445 8.364 251.692 252.174 255.086 255.067 0.004 0.003 0.003 0.003 3962.432 5188.942 5879.667 6875.334 0.264 99.999 717.567 1244.814 1292.646 0.459 0.004 3.665 -0.644 -2.960 -2.588 -2.997 -2.619 -0.361 -0.088 -0.113 0.115 3.632 -0.051 -0.058 3.517 3.650 -1.179 -1.383 -0.985 -2.138
